Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km]
4 x Squab,605,2450,3290,0.0272,0.3209,5.1462,0.3274,1.1961,3.1078
4 x Grosbeak,636,2525,3395,0.0259,0.3204,5.1556,0.3268,1.1945,3.1183
4 x Gannet,666,2595,3495,0.0248,0.3199,5.1640,0.3259,1.1935,3.1244
4 x Starling,716,2710,3655,0.0232,0.3193,5.1748,0.3240,1.1933,3.1249
4 x Drake,795,2890,3900,0.0209,0.3184,5.1916,0.3217,1.1925,3.1296
4 x Tern,795,2860,3865,0.0208,0.3196,5.1622,0.3152,1.2053,3.0387
4 x Ruddy,900,3085,4170,0.0185,0.3185,5.1833,0.3135,1.2031,3.0522
4 x Rail,954,3190,4310,0.0175,0.3179,5.1896,0.3108,1.2054,3.0357
4 x Ortolan,1033,3345,4525,0.0162,0.3171,5.2012,0.3090,1.2056,3.0327
4 x Bluejay,1113,3495,4740,0.0151,0.3165,5.2131,0.3079,1.2051,3.0352
