,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,1 x Squab,605,625,840,0.1073,0.5112,3.2464,0.4417,1.417,2.2998,396.821,133.309,335.0
1,1 x Grosbeak,636,640,865,0.102,0.5094,3.2599,0.4375,1.4135,2.3123,395.3,133.822,336.0
2,1 x Gannet,666,660,890,0.0975,0.5074,3.2726,0.4333,1.4108,2.3213,393.757,134.347,337.0
3,1 x Starling,716,690,930,0.0909,0.5049,3.2907,0.4264,1.4089,2.3283,391.704,135.051,339.0
4,1 x Drake,795,735,995,0.082,0.5012,3.318,0.4175,1.4053,2.3411,388.658,136.109,342.0
5,1 x Tern,795,730,985,0.0821,0.5057,3.2872,0.4077,1.4271,2.2656,392.223,134.872,339.0
6,1 x Ruddy,900,785,1065,0.0728,0.5014,3.3203,0.3993,1.4212,2.2862,388.601,136.129,342.0
7,1 x Rail,954,810,1100,0.0687,0.4989,3.3342,0.393,1.4229,2.2795,386.822,136.755,343.0
8,1 x Ortolan,1033,850,1155,0.0637,0.4958,3.3547,0.3871,1.4212,2.2843,384.438,137.603,345.0
9,1 x Bluejay,1113,890,1210,0.0594,0.4932,3.3749,0.3827,1.4188,2.2929,382.28,138.38,347.0
10,2 x Hawk,477,1070,1430,0.0683,0.3714,4.4678,0.4055,1.2726,2.8772,288.32,183.477,461.0
11,2 x Dove,556,1175,1580,0.0585,0.3683,4.5035,0.3949,1.271,2.8835,285.973,184.982,464.0
12,2 x Squab,605,1235,1660,0.054,0.3668,4.5201,0.3884,1.2729,2.8736,284.866,185.701,466.0
13,2 x Grosbeak,636,1275,1715,0.0514,0.3659,4.534,0.3868,1.2702,2.8878,284.08,186.215,467.0
14,2 x Gannet,666,1310,1765,0.0491,0.3649,4.5467,0.385,1.2685,2.8969,283.295,186.731,469.0
15,2 x Starling,716,1370,1845,0.0458,0.3637,4.5639,0.3813,1.2679,2.9006,282.295,187.393,470.0
16,2 x Drake,795,1460,1970,0.0414,0.3618,4.5902,0.3768,1.2662,2.9104,280.749,188.425,473.0
17,2 x Tern,795,1445,1950,0.0413,0.3642,4.5525,0.3669,1.2858,2.8023,282.843,187.03,469.0
18,2 x Ruddy,900,1555,2105,0.0366,0.362,4.585,0.3632,1.2821,2.8227,280.986,188.266,473.0
19,2 x Rail,954,1610,2185,0.0346,0.3608,4.5966,0.3588,1.285,2.8061,280.166,188.817,474.0
20,2 x Ortolan,1033,1690,2295,0.0321,0.3592,4.6157,0.3555,1.2849,2.8059,278.965,189.63,476.0
21,2 x Bluejay,1113,1765,2400,0.0299,0.358,4.6348,0.3532,1.2838,2.8121,277.924,190.34,478.0
