,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,2 x Drake,795,1460,1970,0.0411,0.3581,4.5999,0.3743,1.2722,2.7468,279.015,426.59,714.0
1,2 x Ruddy,900,1555,2105,0.0365,0.3582,4.5967,0.3579,1.2934,2.6438,279.151,426.382,714.0
2,2 x Rail,954,1610,2185,0.0345,0.357,4.6087,0.3528,1.2976,2.6231,278.32,427.655,716.0
3,2 x Ortolan,1033,1690,2295,0.0319,0.3554,4.6278,0.3492,1.2979,2.6209,277.122,429.504,719.0
4,2 x Bluejay,1113,1765,2400,0.0298,0.3542,4.6469,0.347,1.2969,2.6261,276.085,431.117,721.0
5,3 x Hawk,477,1590,2125,0.0455,0.3181,5.1657,0.3811,1.2278,2.9543,248.152,479.646,803.0
6,3 x Dove,556,1745,2345,0.039,0.316,5.1971,0.3735,1.2279,2.9524,246.583,482.698,808.0
7,3 x Squab,605,1835,2465,0.036,0.315,5.2109,0.3679,1.2314,2.9318,245.866,484.105,810.0
8,3 x Grosbeak,636,1895,2545,0.0342,0.3144,5.2237,0.3674,1.2284,2.9488,245.331,485.161,812.0
9,3 x Gannet,666,1945,2620,0.0327,0.3137,5.2351,0.3665,1.2268,2.9582,244.791,486.231,814.0
10,3 x Starling,716,2035,2740,0.0305,0.3129,5.25,0.3638,1.2268,2.958,244.131,487.546,816.0
11,3 x Drake,795,2165,2925,0.0276,0.3117,5.2731,0.3608,1.2257,2.9641,243.128,489.557,819.0
12,3 x Tern,795,2145,2895,0.0275,0.3133,5.2357,0.3478,1.2504,2.824,244.62,486.571,814.0
13,3 x Ruddy,900,2310,3130,0.0244,0.3118,5.2645,0.3459,1.2469,2.8431,243.366,489.078,818.0
14,3 x Rail,954,2395,3245,0.0231,0.311,5.2738,0.3415,1.2515,2.8174,242.839,490.14,820.0
15,3 x Ortolan,1033,2510,3410,0.0214,0.31,5.29,0.3387,1.2524,2.8122,242.077,491.682,823.0
16,3 x Bluejay,1113,2620,3565,0.0199,0.3091,5.3067,0.3372,1.2518,2.8159,241.344,493.176,825.0
