,Feixe/Cabo,Bitola [MCM],Normal [A],Emerg. [A],r1 [Ω/km],x1 [Ω/km],b1 [μS/km],r0 [Ω/km],x0 [Ω/km],b0 [μS/km],rm0 [Ω/km],xm0 [Ω/km],bm0 [μS/km],Zc [Ω/km],Pn [MW],Ir [A]
0,6 x Ruddy,900,4000,5000,0.0128,0.2844,5.8772,0.2774,1.1551,3.4805,0.2648,0.8158,-1.3465,219.978,2660.38,2008.0
1,6 x Rail,954,4000,5000,0.0121,0.284,5.8822,0.2756,1.1566,3.4758,0.2638,0.8177,-1.3532,219.73,2663.382,2009.9999999999998
2,6 x Ortolan,1033,4000,5000,0.0112,0.2835,5.8923,0.2744,1.1568,3.4781,0.2634,0.8183,-1.3573,219.348,2668.021,2013.9999999999998
3,6 x Bluejay,1113,4000,5000,0.0105,0.2831,5.9028,0.2737,1.1564,3.4827,0.2634,0.8184,-1.3598,218.998,2672.285,2017.0
4,6 x Bunting,1193,4000,5000,0.0099,0.2827,5.913,0.2731,1.1559,3.4878,0.2635,0.8182,-1.3616,218.655,2676.477,2020.0
5,6 x Bittern,1272,4000,5000,0.0093,0.2823,5.9222,0.2726,1.1555,3.4917,0.2635,0.8183,-1.3639,218.33,2680.461,2023.0000000000002
6,6 x Dipper,1351,4000,5000,0.0088,0.2818,5.9308,0.2721,1.1551,3.4955,0.2635,0.8183,-1.3659,217.979,2684.777,2025.9999999999998
7,6 x Bobolink,1431,4000,5000,0.0084,0.2815,5.9391,0.2716,1.1548,3.4988,0.2634,0.8184,-1.3682,217.71,2688.094,2029.0
8,6 x Nuthatch,1510,4000,5000,0.0081,0.2811,5.946,0.271,1.1548,3.5001,0.2632,0.8188,-1.3711,217.429,2691.568,2031.0000000000002
9,6 x Lapwing,1590,4000,5000,0.0077,0.2808,5.9535,0.2706,1.1545,3.5032,0.2632,0.8188,-1.373,217.176,2694.704,2033.9999999999998
