Nome comercial, Bitola (MCM), Diametro do cond. (mm), Diametro da Alma de Aco (mm), Peso nominal Aco (aprox.) (kg/km), Massa (aprox.) (kg/km), Carga de ruptura (Classe A) (kgf), Carga de ruptura (Classe B) (kgf), Ampacidade (A), R_cc a 20C (Ohm/km), R_ca a 60Hz 75C (Ohm/km)
OWL,266.8,16.07,5.36,137,507.9,4393,4273,445,0.212,0.301
WAXWING,266.8,15.46,3.09,58.4,430.8,3119,3068,445,0.213,0.303
PARTRIDGE,266.8,16.3,6.01,172.1,546.7,5125,4974,455,0.214,0.255
OSTRICH,300,17.28,6.36,193.2,614.2,5756,5586,495,0.19,0.227
MERLIN,336.4,17.36,3.47,73.7,543.5,3936,3871,515,0.169,0.205
LINNET,336.4,18.29,6.74,216.4,688.3,6393,6203,530,0.17,0.203
ORIOLE,336.4,18.83,8.07,310.7,784.3,7884,7611,530,0.17,0.201
CHICKADEE,397.5,18.87,3.77,87,642.2,4506,4430,575,0.143,0.173
BRANT,397.5,19.61,6.54,203.9,762,6641,6462,585,0.143,0.174
IBIS,397.5,19.88,7.32,255.9,813.3,7394,7170,590,0.144,0.172
LARK,397.5,20.47,8.77,367.2,926.7,9248,8926,590,0.144,0.17
PELICAN,477,20.68,4.14,104.5,770.9,5332,5240,640,0.119,0.145
FLICKER,477,21.49,7.16,244.9,914.6,7800,7585,670,0.12,0.144
HAWK,477,21.78,8.03,307.3,976.4,8878,8608,660,0.12,0.144
HEN,477,22.42,9.61,440.6,1111.9,10799,10412,660,0.12,0.142
OSPREY,556.5,22.33,4.47,121.8,898.9,6217,6110,710,0.102,0.124
PARAKEET,556.5,23.21,7.73,285.4,1066.8,9005,8754,720,0.102,0.124
DOVE,556.5,23.54,8.67,358.9,1140.2,10274,9959,730,0.102,0.123
EAGLE,556.5,24.21,10.38,513.8,1296.8,12594,12143,730,0.103,0.122
PEACOCK,605,24.21,8.07,310.7,1160.6,9799,9527,760,0.094,0.114
SQUAB,605,24.53,9.04,389.6,1238.7,11060,10718,765,0.094,0.113
TEAL,605,25.25,10.82,546.9,1398.3,13592,13128,775,0.094,0.112
WOODDUCK,605,25.25,10.82,558.7,1410.1,13103,12613,775,0.094,0.113
DUCK,605,24.2,8.07,310.5,1160.1,10083,9822,770,0.094,0.112
KINGBIRD,636,23.88,4.78,139.3,1028,7110,6987,775,0.089,0.106
ROOK,636,24.81,8.27,326.2,1219.1,10291,10005,780,0.09,0.108
GROSBEAK,636,25.16,9.27,409.8,1302.8,11427,11067,790,0.09,0.108
EGRET,636,25.89,11.1,575.6,1470.5,14298,13809,800,0.09,0.107
SCOTER,636,25.89,11.09,587.3,1482.2,13772,13257,800,0.09,0.108
SWIFT,636,23.63,3.38,69.6,958.1,6242,6180,770,0.089,0.106
GOOSE,636,24.8,8.27,326.2,1218.7,10592,10306,800,0.09,0.107
FLAMINGO,666.6,25.4,8.47,342,1278.2,10790,10490,810,0.086,0.103
GANNET,666.6,25.75,9.49,429.4,1365.2,11974,11597,810,0.086,0.103
STILT,715.5,26.32,8.77,367.2,1372.3,11584,11261,845,0.08,0.096
STARLING,715.5,26.69,9.83,461.2,1465.8,12858,12453,850,0.08,0.096
REDWING,715.5,27.45,11.76,646.1,1652.7,15709,15161,860,0.08,0.095
CUCKOO,795,27.74,9.24,407.6,1523.8,12658,12300,900,0.072,0.086
DRAKE,795,28.13,10.36,512.3,1628.6,14286,13836,910,0.072,0.086
MALLARD,795,28.95,12.41,719.5,1838.4,17482,16872,920,0.072,0.086
COOT,795,26.42,3.77,87,1197.3,7593,7516,885,0.071,0.085
TERN,795,27.01,6.75,217.4,1333.4,10013,9823,890,0.072,0.088
CONDOR,795,27.73,9.24,407.6,1523.1,12776,12418,900,0.072,0.087
RUDDY,900,28.74,7.19,246.3,1509.7,11099,10882,960,0.063,0.077
