109.7    9.54	152.1	0.5338   1347
138.3   10.71	191.7	0.4236   1629
152.6   11.25	211.4	0.3839   1797
174.5   12.03	241.8	0.3357   1970
219.7   13.50	304.5	0.2666   2481
244.8   14.25	339.3	0.2393   2764
348.5   17.20	485.3	0.1689   4106
414.1   18.75	576.8	0.1421   4879
492.7   20.45	686.0	0.1195   5562
664.5   23.75	925.6	0.0886   7502
516.2   21.00	720.4	0.1143   6334
537     21.42	749.5	0.1098   6590
555.5   21.77	774.1	0.1063   6807
576.3   22.19	804.3	0.1024   7072
583.6   22.33	814.5	0.1011   7162
605.8   22.75	845.4	0.0974   7434
659.1   23.73	919.7	0.0895   7764
673     24.01	941.6	0.0874   7949
679     24.08	946.9	0.0869   7995
702.5   24.50	980.5	0.0840   8276
739.1   25.13	1031	0.0798   8708
776.6   25.76	1084	0.0759   9150
823.8   26.53	1150	0.0716   9300  
840     26.81	1174	0.0701   9498
850     26.95	1186	0.0694   9597
876     27.37	1224	0.0673   9899
908.5   27.86	1268	0.0649   10256
926.8   28.14	1293	0.0636   10464
876     27.36	1221	0.0677   10159
938     28.35	1312	0.0630   10907
944     28.44	1321	0.0626   10976
993     29.16	1387	0.0596   11539
998.7   29.25	1397	0.0592   11610.5
1010    29.34	1405	0.0588   11215
1010    29.43	1414	0.0585   11284
1016    29.52	1422	0.0581   11353
1040    29.88	1457	0.0567   11631
1080    30.42	1510	0.0061   12056
1152    31.41	1611	0.0513   12853
1158    31.50	1620	0.0510   12927
1253    32.76	1751	0.0472   13982
1329.6  33.75	1858	0.0445   14839
1650    37.62	2310	0.0358   17669
